lo_id,hi_id,lo_wins,hi_wins
101609,102497,1,0
101609,102585,1,0
101609,102703,0,1
101609,102768,1,0
101609,102785,0,2
101609,102884,1,0
101609,102905,0,1
101609,103060,0,1
101609,103225,0,1
101609,103444,1,0
101609,103714,1,0
101609,103720,0,1
101609,104068,0,1
101611,101647,0,1
101611,101723,1,0
101611,101774,0,2
101611,101792,2,0
101611,101820,0,1
101611,101897,0,1
101611,101962,1,1
101611,101964,0,1
101611,102035,1,1
101611,102104,1,0
101611,102106,3,1
101611,102158,1,0
101611,102162,1,0
101611,102184,1,0
101611,102223,1,0
101611,102227,1,1
101611,102233,1,0
101611,102257,1,0
101611,102259,1,1
101611,102271,0,1
101611,102286,1,0
101611,102287,1,0
101611,102318,2,2
101611,102338,0,1
101611,102344,1,2
101611,102358,0,1
101611,102369,1,0
101611,102374,0,1
101611,102434,0,1
101611,102437,1,0
101611,102446,1,1
101611,102450,1,2
101611,102524,1,0
101611,102562,2,2
101611,102563,0,1
101611,102567,1,1
101611,102607,1,0
101611,102610,0,1
101611,102642,1,1
101611,102735,1,0
101611,102765,1,3
101611,102770,1,0
101611,102776,1,0
101611,102783,1,0
101611,102788,1,0
101611,102854,0,1
101611,102869,1,0
101611,102882,0,2
101611,102905,2,0
101611,102911,0,1
101611,102925,1,0
101611,102978,1,0
101611,102998,1,1
101611,103017,1,1
101611,103018,2,1
101611,103082,0,1
101611,103084,0,2
